experiment_group,source_file,status,protocol_id,method,subject_id,generator_seed,classifier_seed,selected_epoch,validation_misclass,test_misclass,n_real_train_trials,n_synthetic_train_trials,n_valid_trials,n_test_trials,n_channels,n_times,train_data_type,split_file,train_data_file,runtime_seconds,notes,error,test_accuracy,total_train_trials,synthetic_composition_pct
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,2,0,2,50,0.4137931034482759,0.5833333333333333,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed0.npz,76.89636148512363,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.41666666666666674,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,2,1,0,34,0.3793103448275862,0.5902777777777778,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed1.npz,62.08798674121499,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.4097222222222222,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,2,1,1,39,0.3793103448275862,0.5555555555555556,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed1.npz,93.56797191500664,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.4444444444444444,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,2,1,2,54,0.4137931034482759,0.5729166666666667,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed1.npz,76.21355583891273,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.42708333333333326,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,2,2,0,38,0.4137931034482759,0.6284722222222222,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed2.npz,71.33874133974314,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.3715277777777778,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,2,2,1,45,0.3793103448275862,0.625,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed2.npz,62.93237314000726,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.375,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,2,2,2,55,0.3103448275862068,0.5659722222222222,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S02_generator-seed2.npz,113.12379525229336,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.4340277777777778,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,3,0,0,37,0.1724137931034483,0.1527777777777778,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed0.npz,52.445589546114206,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.8472222222222222,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,3,0,1,41,0.1724137931034483,0.2256944444444444,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed0.npz,63.20506925135851,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.7743055555555556,518,50.0
gaussian_augmentation,high-gamma-data/outputs/results/ratios/gaussian_augmentation_ratio_runs.csv,success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,3,0,2,41,0.0689655172413793,0.1493055555555555,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S03_generator-seed0.npz,94.76901015639304,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,,0.8506944444444445,518,50.0
