status,protocol_id,method,subject_id,generator_seed,classifier_seed,selected_epoch,validation_misclass,test_misclass,n_real_train_trials,n_synthetic_train_trials,n_valid_trials,n_test_trials,n_channels,n_times,train_data_type,split_file,train_data_file,runtime_seconds,notes,error
success,vae_repo_90_10_seed42,gaussian_cct_add_100pct_synth,1,0,2,42,0.2068965517241379,0.33333333333333337,259,259,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed0.npz,94.31160179153085,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 259 synthetic trials added; synthetic amount=100% relative to original real training size; final training size=518; final synthetic composition=50.00%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_25pct_synth,1,1,0,54,0.10344827586206895,0.23611111111111116,259,65,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,45.83617598190904,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 65 synthetic trials added; synthetic amount=25% relative to original real training size; final training size=324; final synthetic composition=20.06%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_25pct_synth,1,1,1,78,0.06896551724137934,0.2569444444444444,259,65,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,73.22626465931535,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 65 synthetic trials added; synthetic amount=25% relative to original real training size; final training size=324; final synthetic composition=20.06%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_25pct_synth,1,1,2,50,0.10344827586206895,0.2569444444444444,259,65,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,42.37237121537328,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 65 synthetic trials added; synthetic amount=25% relative to original real training size; final training size=324; final synthetic composition=20.06%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_50pct_synth,1,1,0,15,0.13793103448275867,0.34375,259,129,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,41.77308041974902,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 129 synthetic trials added; synthetic amount=50% relative to original real training size; final training size=388; final synthetic composition=33.25%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_50pct_synth,1,1,1,61,0.1724137931034483,0.2569444444444444,259,129,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,58.78965745866299,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 129 synthetic trials added; synthetic amount=50% relative to original real training size; final training size=388; final synthetic composition=33.25%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_50pct_synth,1,1,2,53,0.1724137931034483,0.29861111111111116,259,129,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,50.38116256520152,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 129 synthetic trials added; synthetic amount=50% relative to original real training size; final training size=388; final synthetic composition=33.25%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_75pct_synth,1,1,0,29,0.10344827586206895,0.29166666666666663,259,194,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,69.97102292254567,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 194 synthetic trials added; synthetic amount=75% relative to original real training size; final training size=453; final synthetic composition=42.83%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_75pct_synth,1,1,1,74,0.13793103448275867,0.2881944444444444,259,194,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,89.74905560165644,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 194 synthetic trials added; synthetic amount=75% relative to original real training size; final training size=453; final synthetic composition=42.83%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
success,vae_repo_90_10_seed42,gaussian_cct_add_75pct_synth,1,1,2,79,0.1724137931034483,0.3368055555555556,259,194,29,288,22,1000,real_plus_synthetic_gaussian_cct,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S01_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/gaussian/gaussian_class_channel_time/S01_generator-seed1.npz,92.56971638277173,Additive augmentation with Gaussian class-channel-time synthetic EEG; all 259 real training trials retained; 194 synthetic trials added; synthetic amount=75% relative to original real training size; final training size=453; final synthetic composition=42.83%; synthetic subset class-stratified and nested; validation and official test sets remain entirely real.,
