status,protocol_id,method,subject_id,generator_seed,classifier_seed,selected_epoch,validation_misclass,test_misclass,n_real_train_trials,n_synthetic_train_trials,n_valid_trials,n_test_trials,n_channels,n_times,train_data_type,split_file,train_data_file,runtime_seconds,notes,error
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,2,0,2,36,0.4482758620689655,0.5381944444444444,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S02_generator-seed0.npz,28.415789023041725,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,2,1,0,38,0.3793103448275862,0.5138888888888888,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S02_generator-seed1.npz,43.11860420554876,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,2,1,1,42,0.3793103448275862,0.4930555555555556,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S02_generator-seed1.npz,45.508923664689064,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,2,1,2,16,0.4137931034482759,0.625,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S02_generator-seed1.npz,29.44776902720332,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,2,2,0,56,0.4482758620689655,0.45833333333333337,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S02_generator-seed2.npz,38.18241322785616,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,2,2,1,40,0.4137931034482759,0.44791666666666663,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S02_generator-seed2.npz,36.90244169905782,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,2,2,2,44,0.4137931034482759,0.5208333333333333,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S02_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S02_generator-seed2.npz,28.451581344008446,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,3,0,0,58,0.06896551724137934,0.10763888888888884,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S03_generator-seed0.npz,37.62530380859971,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,3,0,1,65,0.06896551724137934,0.09027777777777779,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S03_generator-seed0.npz,42.103344440460205,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
success,vae_reconstruction_fixed_size_ratios_90_10_seed42,vae_replace_25pct_real,3,0,2,53,0.06896551724137934,0.1284722222222222,194,65,29,288,22,1000,real_vae_fixed_size_replacement,/home/jovyan/eeg-repro/high-gamma-data/data/processed/vae_repo_90_10_seed42/real_splits/S03_real_splits.npz,/home/jovyan/eeg-repro/high-gamma-data/data/generated/vae_repo_90_10_seed42/vae_reconstruction/S03_generator-seed0.npz,34.24964525923133,Fixed-size paired replacement; requested synthetic ratio=25%; real trials=194; synthetic trials=65; total trials=259; class counts and frozen label order preserved; replacement subsets nested across ratios; validation and test are real EEG,
